CMDLINE c:\users\marcob\appdata\local\continuum\anaconda3\envs\drlnd\python.exe train_pixels.py
MEM 293.671875 1581083002.7489
MEM 282.597656 1581083002.8546
MEM 293.699219 1581083002.9708
MEM 293.699219 1581083003.0736
MEM 294.968750 1581083003.1737
MEM 277.992188 1581083003.2772
MEM 271.085938 1581083003.3809
MEM 288.375000 1581083003.4848
MEM 293.617188 1581083003.5888
MEM 294.886719 1581083003.6968
MEM 293.671875 1581083003.7988
MEM 273.175781 1581083003.9008
MEM 281.382812 1581083004.0018
MEM 292.558594 1581083004.1139
MEM 294.945312 1581083004.2209
MEM 274.296875 1581083004.3229
MEM 274.945312 1581083004.4244
MEM 296.015625 1581083004.5289
MEM 296.027344 1581083004.6299
MEM 275.355469 1581083004.7308
MEM 285.218750 1581083004.8318
MEM 296.679688 1581083004.9328
MEM 276.023438 1581083005.0337
MEM 276.023438 1581083005.1341
MEM 298.968750 1581083005.2379
MEM 298.968750 1581083005.3427
MEM 300.277344 1581083005.4523
MEM 285.234375 1581083005.5540
MEM 277.242188 1581083005.6598
MEM 291.550781 1581083005.7598
MEM 296.167969 1581083005.8637
MEM 277.484375 1581083005.9647
MEM 287.949219 1581083006.0648
MEM 280.800781 1581083006.1653
MEM 275.031250 1581083006.2660
MEM 281.453125 1581083006.3667
MEM 300.222656 1581083006.4676
MEM 302.410156 1581083006.5696
MEM 279.550781 1581083006.6716
MEM 281.925781 1581083006.7725
MEM 297.667969 1581083006.8805
MEM 288.855469 1581083006.9805
MEM 280.863281 1581083007.0814
MEM 283.515625 1581083007.1834
MEM 286.941406 1581083007.2874
MEM 283.628906 1581083007.3889
MEM 276.894531 1581083007.4896
MEM 291.328125 1581083007.5919
MEM 303.617188 1581083007.6976
MEM 289.945312 1581083007.7984
MEM 281.953125 1581083007.8984
MEM 299.785156 1581083008.0088
MEM 305.773438 1581083008.1095
MEM 282.933594 1581083008.2104
MEM 282.933594 1581083008.3106
MEM 302.011719 1581083008.4194
MEM 292.671875 1581083008.5204
MEM 284.703125 1581083008.6213
MEM 306.472656 1581083008.7223
MEM 308.566406 1581083008.8223
MEM 285.531250 1581083008.9243
MEM 299.988281 1581083009.0244
MEM 299.960938 1581083009.1253
MEM 293.753906 1581083009.2263
MEM 285.765625 1581083009.3269
MEM 303.671875 1581083009.4286
MEM 308.226562 1581083009.5293
MEM 287.730469 1581083009.6302
MEM 296.640625 1581083009.7303
MEM 304.105469 1581083009.8306
MEM 283.074219 1581083009.9314
MEM 302.464844 1581083010.0322
MEM 309.785156 1581083010.1323
MEM 289.113281 1581083010.2333
MEM 306.789062 1581083010.3333
MEM 304.312500 1581083010.4333
MEM 289.300781 1581083010.5338
MEM 300.925781 1581083010.6353
MEM 298.898438 1581083010.7363
MEM 290.429688 1581083010.8363
MEM 298.195312 1581083010.9363
MEM 294.914062 1581083011.0373
MEM 306.089844 1581083011.1387
MEM 286.804688 1581083011.2395
MEM 287.308594 1581083011.3439
MEM 312.523438 1581083011.4453
MEM 312.621094 1581083011.5455
MEM 292.058594 1581083011.6458
MEM 307.097656 1581083011.7465
MEM 309.632812 1581083011.8475
MEM 294.089844 1581083011.9484
MEM 294.089844 1581083012.0493
MEM 300.269531 1581083012.1494
MEM 293.371094 1581083012.2503
MEM 293.371094 1581083012.3503
MEM 310.320312 1581083012.4523
MEM 294.968750 1581083012.5538
MEM 294.968750 1581083012.6543
MEM 313.648438 1581083012.7554
MEM 296.910156 1581083012.8563
MEM 299.101562 1581083012.9563
MEM 318.148438 1581083013.0566
MEM 297.515625 1581083013.1584
MEM 298.156250 1581083013.2593
MEM 318.648438 1581083013.3602
MEM 299.246094 1581083013.4604
MEM 299.250000 1581083013.5612
MEM 301.007812 1581083013.6612
MEM 300.871094 1581083013.7613
MEM 295.062500 1581083013.8623
MEM 320.160156 1581083013.9632
MEM 324.679688 1581083014.0904
MEM 302.738281 1581083014.1923
MEM 302.765625 1581083014.2936
MEM 313.242188 1581083014.3948
MEM 324.441406 1581083014.4955
MEM 303.777344 1581083014.5963
MEM 313.042969 1581083014.6970
MEM 325.871094 1581083014.7978
MEM 305.199219 1581083014.8985
MEM 316.410156 1581083014.9988
MEM 326.308594 1581083015.0990
MEM 305.636719 1581083015.1998
MEM 315.121094 1581083015.3005
MEM 326.386719 1581083015.4023
MEM 306.062500 1581083015.5036
MEM 311.242188 1581083015.6043
MEM 319.761719 1581083015.7051
MEM 306.500000 1581083015.8058
MEM 318.449219 1581083015.9065
MEM 324.351562 1581083016.0073
MEM 306.710938 1581083016.1080
MEM 316.558594 1581083016.2088
MEM 328.914062 1581083016.3095
MEM 307.304688 1581083016.4102
MEM 324.074219 1581083016.5109
MEM 329.035156 1581083016.6117
MEM 308.367188 1581083016.7124
MEM 307.273438 1581083016.8131
MEM 329.050781 1581083016.9141
MEM 330.523438 1581083017.0150
MEM 307.488281 1581083017.1158
MEM 319.636719 1581083017.2165
MEM 331.515625 1581083017.3167
MEM 308.480469 1581083017.4175
MEM 324.601562 1581083017.5176
MEM 332.707031 1581083017.6193
MEM 309.671875 1581083017.7194
MEM 324.296875 1581083017.8214
MEM 331.035156 1581083017.9224
MEM 310.539062 1581083018.0233
MEM 331.480469 1581083018.1243
MEM 328.398438 1581083018.2244
MEM 312.062500 1581083018.3253
MEM 336.082031 1581083018.4263
MEM 320.132812 1581083018.5266
MEM 312.140625 1581083018.6273
MEM 323.218750 1581083018.7282
MEM 321.019531 1581083018.8282
MEM 313.027344 1581083018.9291
MEM 328.355469 1581083019.0291
MEM 317.023438 1581083019.1301
MEM 314.113281 1581083019.2302
MEM 326.769531 1581083019.3322
MEM 316.730469 1581083019.4322
MEM 315.636719 1581083019.5332
MEM 334.847656 1581083019.6332
MEM 316.730469 1581083019.7352
MEM 316.851562 1581083019.8356
MEM 333.617188 1581083019.9364
MEM 317.070312 1581083020.0372
MEM 318.152344 1581083020.1373
MEM 340.261719 1581083020.2384
MEM 318.589844 1581083020.3392
MEM 320.750000 1581083020.4402
MEM 341.652344 1581083020.5403
MEM 318.800781 1581083020.6413
MEM 325.066406 1581083020.7422
MEM 329.363281 1581083020.8424
MEM 320.246094 1581083020.9433
MEM 331.917969 1581083021.0442
MEM 341.535156 1581083021.1452
MEM 323.613281 1581083021.2462
MEM 334.878906 1581083021.3463
MEM 345.296875 1581083021.4473
MEM 324.625000 1581083021.5473
MEM 336.269531 1581083021.6473
MEM 346.503906 1581083021.7473
MEM 325.269531 1581083021.8473
MEM 343.093750 1581083021.9483
MEM 342.800781 1581083022.0493
MEM 325.707031 1581083022.1502
MEM 344.957031 1581083022.2502
MEM 332.949219 1581083022.3512
MEM 325.050781 1581083022.4513
MEM 348.101562 1581083022.5522
MEM 333.250000 1581083022.6522
MEM 326.351562 1581083022.7532
MEM 351.261719 1581083022.8543
MEM 334.683594 1581083022.9547
MEM 327.785156 1581083023.0554
MEM 338.414062 1581083023.1563
MEM 329.937500 1581083023.2583
MEM 329.937500 1581083023.3593
MEM 350.757812 1581083023.4593
MEM 330.875000 1581083023.5602
MEM 330.902344 1581083023.6603
MEM 351.867188 1581083023.7603
MEM 332.062500 1581083023.8612
MEM 332.062500 1581083023.9612
MEM 353.683594 1581083024.0613
MEM 333.011719 1581083024.1615
MEM 335.390625 1581083024.2624
MEM 340.441406 1581083024.3633
MEM 333.226562 1581083024.4633
MEM 339.539062 1581083024.5633
MEM 346.230469 1581083024.6644
MEM 334.523438 1581083024.7653
MEM 339.496094 1581083024.8662
MEM 347.863281 1581083024.9663
MEM 334.539062 1581083025.0672
MEM 346.429688 1581083025.1673
MEM 349.898438 1581083025.2674
MEM 334.539062 1581083025.3683
MEM 345.203125 1581083025.4692
MEM 355.132812 1581083025.5702
MEM 334.539062 1581083025.6703
MEM 352.644531 1581083025.7712
MEM 356.914062 1581083025.8722
MEM 336.242188 1581083025.9722
MEM 348.160156 1581083026.0722
MEM 355.687500 1581083026.1753
MEM 336.285156 1581083026.2763
MEM 358.710938 1581083026.3772
MEM 344.695312 1581083026.4782
MEM 337.796875 1581083026.5783
MEM 361.367188 1581083026.6793
MEM 344.476562 1581083026.7793
MEM 337.578125 1581083026.8803
MEM 347.898438 1581083026.9812
MEM 339.089844 1581083027.0822
MEM 339.089844 1581083027.1832
MEM 359.265625 1581083027.2852
MEM 339.316406 1581083027.3852
MEM 344.878906 1581083027.4852
MEM 362.156250 1581083027.5853
MEM 341.484375 1581083027.6862
MEM 348.597656 1581083027.7872
MEM 351.984375 1581083027.8873
MEM 341.132812 1581083027.9873
MEM 349.679688 1581083028.0883
MEM 352.960938 1581083028.1884
MEM 343.089844 1581083028.2893
MEM 360.246094 1581083028.3902
MEM 365.042969 1581083028.4912
MEM 345.687500 1581083028.5922
MEM 357.394531 1581083028.6922
MEM 367.960938 1581083028.7932
MEM 347.289062 1581083028.8932
MEM 357.058594 1581083028.9932
MEM 369.226562 1581083029.0933
MEM 347.457031 1581083029.1936
MEM 366.933594 1581083029.2963
MEM 354.914062 1581083029.3973
MEM 348.015625 1581083029.4983
MEM 371.414062 1581083029.5993
MEM 355.914062 1581083029.6993
MEM 349.042969 1581083029.8003
MEM 368.253906 1581083029.9003
MEM 357.437500 1581083030.0003
MEM 350.539062 1581083030.1013
MEM 360.964844 1581083030.2026
MEM 352.488281 1581083030.3033
MEM 352.488281 1581083030.4043
MEM 370.023438 1581083030.5044
MEM 351.933594 1581083030.6063
MEM 351.933594 1581083030.7073
MEM 373.558594 1581083030.8083
MEM 353.871094 1581083030.9093
MEM 354.390625 1581083031.0102
MEM 376.277344 1581083031.1103
MEM 355.605469 1581083031.2103
MEM 355.632812 1581083031.3112
MEM 379.089844 1581083031.4113
MEM 364.285156 1581083031.5123
MEM 357.386719 1581083031.6125
MEM 377.816406 1581083031.7133
MEM 380.367188 1581083031.8143
MEM 358.425781 1581083031.9152
MEM 376.097656 1581083032.0252
MEM 382.304688 1581083032.1267
MEM 360.363281 1581083032.2274
MEM 370.289062 1581083032.3274
MEM 380.843750 1581083032.4277
MEM 359.078125 1581083032.5284
MEM 369.257812 1581083032.6321
MEM 381.449219 1581083032.7364
MEM 381.695312 1581083032.8391
MEM 361.023438 1581083032.9418
MEM 361.023438 1581083033.0426
MEM 373.246094 1581083033.1432
MEM 367.496094 1581083033.2440
MEM 360.625000 1581083033.3447
MEM 383.429688 1581083033.4462
MEM 367.492188 1581083033.5469
MEM 360.593750 1581083033.6477
MEM 376.902344 1581083033.7478
MEM 383.175781 1581083033.8497
MEM 362.175781 1581083033.9516
